_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,25,20,0.75542,0.344262494097317,0.15,0.0,20962.75,26438.300000000003,17612.85,0.29503398563884325,2048,71,0.9746959687689126,1.1224174448647217,17.0,0.8887294117647059,0.12189255393945257,0.75542,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,26,20,0.764025,0.34391860401003393,0.15,0.0,20294.699999999997,25585.420000000002,17627.550000000003,0.4183262645844398,2048,52,0.9341013120904736,1.130770831187187,17.0,0.8988529411764706,0.10813237326101205,0.7640250000000001,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,27,20,0.71777,0.3836147246227241,0.2,0.0,20736.45,27073.66,17705.4,0.6227816771595117,2048,86,0.9671051512187334,1.1014164963170596,16.0,0.8972125,0.12112693548505221,0.71777,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,28,20,0.708695,0.3836308498036265,0.2,0.0,20785.25,25241.750000000004,17632.45,0.5200525612553587,2048,66,0.988244329305114,1.1382645504659128,16.0,0.88586875,0.13784941890217267,0.7086950000000001,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,29,20,0.62905,0.4337447509162139,0.3,0.0,20586.05,26773.170000000002,17941.0,0.7683316847833965,1024,57,0.9151180854534484,1.113678946773588,14.0,0.8986428571428571,0.11858393142078229,0.6290499999999999,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,30,20,0.670445,0.41356978978923953,0.25,0.0,22379.45,27899.920000000002,18033.75,0.38176658064450547,4096,109,0.8189380311814349,1.0044933989014206,15.0,0.8939266666666666,0.13446086242401364,0.670445,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,1,20,0.8461449999999999,0.22000357048538052,0.05,0.05,32174.6,41455.32,27511.2,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,19.0,0.890678947368421,0.0960284424240337,0.8461449999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,2,20,0.895515,0.0950465441382883,0.0,0.0,31130.449999999997,39021.15000000001,26935.55,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,20.0,0.895515,0.0950465441382883,0.895515,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,3,20,0.8940849999999999,0.09407118958813225,0.0,0.0,31399.550000000003,41348.72,27558.35,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,20.0,0.8940849999999999,0.09407118958813225,0.8940849999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,4,20,0.8956500000000001,0.0947582158637667,0.0,0.0,30853.949999999997,38827.78,26991.65,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,20.0,0.8956500000000001,0.0947582158637667,0.8956500000000001,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,5,20,0.889805,0.10331962403399615,0.0,0.0,31573.85,40770.77,27439.199999999997,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,20.0,0.889805,0.10331962403399615,0.889805,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,6,20,0.8481799999999999,0.22035586672471422,0.05,0.0,31457.25,41227.530000000006,27474.7,0.6658781436815229,4096,97,0.8231872646205081,1.0742765365166904,19.0,0.892821052631579,0.09583101202375503,0.8481799999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,7,20,0.8941549999999999,0.09402558148548834,0.0,0.0,31610.85,41300.17,27375.1,0.12407196478065288,1024,83,0.8988129240237841,1.082006541901492,20.0,0.8941549999999999,0.09402558148548834,0.8941549999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,8,20,0.8956949999999999,0.09477078983137766,0.0,0.0,30975.6,38460.8,26984.85,0.22939811886786896,1024,149,0.9136009959741062,1.1382811352534674,20.0,0.8956949999999999,0.09477078983137766,0.8956949999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,9,20,0.894745,0.09431516859082524,0.0,0.0,31558.35,41177.87,27542.7,0.16194475143634365,4096,91,0.8515563160370403,1.1243106263727893,20.0,0.894745,0.09431516859082524,0.894745,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,10,20,0.8948599999999999,0.09426336230839745,0.0,0.0,31392.949999999997,41147.090000000004,27541.4,0.34972732868551254,2048,138,0.8141646222991565,1.1480330404900776,20.0,0.8948599999999999,0.09426336230839745,0.8948599999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,11,20,0.89223,0.10340158860634482,0.0,0.0,30844.4,38491.8,26943.15,0.459564349943546,1024,120,0.9197262154576752,1.1116504584301008,20.0,0.89223,0.10340158860634482,0.89223,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,12,20,0.8468500000000001,0.22020219297153623,0.05,0.0,31046.949999999997,38664.73,26962.9,0.2660883132635644,1024,158,0.9305052103178373,1.0569406365130336,19.0,0.891421052631579,0.09614548916989965,0.84685,1.1102230246251565e-16
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,13,20,0.8952500000000001,0.09404367126640235,0.0,0.0,31659.65,41252.079999999994,27380.05,0.29653266796779293,4096,126,0.8734321082838207,1.050003276210252,20.0,0.8952500000000001,0.09404367126640235,0.8952500000000001,0.0
